,0,1,2,3,4,5,6,7,8
0,Settlement,,Symbol/,,,,Cost Basis,Transaction,
1,Date,Security Name,CUSIP,Transaction Description,Quantity,Price,of Close,Cost,Transaction Total
2,7/11,SPDR SER TR BARCLAYS CAP HIGH YIELD BD ETF,JNK,"You bought Wash sale of 8/8/11: $2,805.50",100,$37.17900,,-$7.95,"-$3,725.85"
3,7/11,SPDR SER TR BARCLAYS CAP HIGH YIELD BD ETF,JNK,"You bought Wash sale of 8/8/11: $7,780.04",100,37.17900,,-7.95,"-3,725.85"
4,7/11,SABRA HEALTH CARE REIT INC COM USD0.01,SBRA,You bought,200,11.04000,,-7.95,"-2,215.95"
5,7/11,SPDR SER TR BARCLAYS CAP HIGH YIELD BD ETF,JNK,"You sold LT loss: $8,781.90 LT disallowed loss: $8,781.90",-200,36.88200,$60004,-7.95,"7,368.45"
6,7/11,SPDR SER TR BARCLAYS CAP HIGH YIELD BD ETF,JNK,"You sold LT loss: $5,210.22 LT disallowed loss: $5,210.22",-500,36.88100,155004,-7.95,"18,432.55"
7,7/11,SABRA HEALTH CARE REIT INC COM USD0.01,SBRA,You bought,50,11.03400,,-7.95,-559.65
8,7/11,SABRA HEALTH CARE REIT INC COM USD0.01,SBRA,You bought,50,11.03000,,-7.95,-559.45
9,7/11,SABRA HEALTH CARE REIT INC COM USD0.01,SBRA,You bought,150,11.05000,,-7.95,"-1,665.45"
10,7/12,SPDR SER TR BARCLAYS CAP HIGH YIELD BD ETF,JNK,"You bought Wash sale of 8/8/11: $2,070.58",50,37.29900,,-7.95,"-1,872.90"
11,7/18,SPDR SER TR BARCLAYS CAP HIGH YIELD BD ETF,JNK,You bought,50,38.27900,,-7.95,"-1,921.90"
12,7/23,MGM RESORTS INTERNATIONAL 4.25000% 4/15/2015 SR CV NT TRADE EXECUTED BY MLCO,,You bought Accrued Interest: -347.44,5000,109.00000,,,"-5,450.00"
13,7/30,,FMPXX,You bought,1000,1.00000,,-7.95,"-1,007.95"
14,Total,Securities Bought,,,,,,-$95.4,"-$22,712.90"
15,Total,Securities Sold,,,,,,,"$25,801.00"
16,Net,Securities Bought & Sold,,,,,,,"$3,088.10"
