,0,1,2,3,4,5,6,7
0,Description,Quantity,Price Per Unit,Ending Market Value,Total Cost Basis,Unrealized Gain/Loss,Est. Annual Income (EAI),Est. Yield (EY)
1,COMMON STOCK,,,,,,,
2,APPLE INC (AAPL),30.00,$525.31,"$15,759.30","$8,247.50","$7,511.80",$365.62,2.32%
3,EXXON MOBILE (XOM),50.00,87.96,"4,398.00","4,149.75",248.25,125.78,2.86
4,FACEBOOK (FB),60.00,25.16,"1,509.60","1,848.95",-339.35,,
5,GENERAL MOTORS CO USD0.01 (GM) ISIN: US37045V1008 SEDOL: B3SMT78,209.00,35.56,"7,432.04",unknown,unknown,,
6,SLM CORP CPILKD NT FLTG RATE 0.00% 03/15/2017 (OSM),590.00,23.49,"13,859.10","9,090.70","4,768.40",,
7,STANDARD PACIFIC CORP (SPF),"5,100.00",9.238,"47,113.80","61,354.44",863.47,"1,352.17",2.87
8,WESTMORELAND COAL CO DEP SHS EACH REPSTG 1/4 OF SHS SER A CV ESCH (WLBPZ),300.00,30.48,"9,144.00","5,088.40","4,055.60",,
9,Total Stocks (70% of account holdings),,,"$99,215.84","$89,779.74","$17,108.17","$1,843.57",
