,0,1,2
0,,This Period,Year-to-Date
1,Beginning Account Value,"$88,053.95","$76,911.26"
2,Additions,"$59,269.64","$107,124.70"
3,Deposits,"9,465.00","35,871.01"
4,Securities Transferred In,"49,804.64","71,253.69"
5,Subtractions,"-$45,430.74","-$94,297.76"
6,Withdrawals,"-5,485.00","-32,581.02"
7,Securities Transferred Out,"-5,000.00","-5,000.00"
8,"Cards, Checking & Bill Payments","-33,842.96","-54,258.13"
9,"Trans. Costs, Fees & Charges",-139.77,-625.87
10,Taxes Withheld,-963.01,"-1,832.74"
11,Change in Investment Value*,"$1,458.33","$13,612.98"
12,Ending Account Value,"$103,351.18","$103,351.18"
